publisher,number of published games
Electronic Arts,187
Ubisoft,132
Activision,122
Sega,82
Eidos Interactive,79
THQ,70
EA Sports,70
,68
Atari,68
Sierra Entertainment,52
Codemasters,43
Capcom,41
Microsoft Game Studios,41
Konami,41
Sierra On-Line,39
LucasArts,39
EA Games,37
Infogrames,36
Microsoft,35
Interplay Entertainment,35
Paradox Interactive,27
Midway Games,24
Valve,24
Strategy First,24
GT Interactive,24
3DO,24
Empire Interactive,23
Psygnosis,22
Hasbro Interactive,22
PopCap Games,21
2K Sports,20
2K Games,19
Activision Value,19
Spiderweb Software,19
Gathering of Developers,19
Bethesda Softworks,19
Sony Online Entertainment,17
Blizzard Entertainment,16
Virgin Interactive,16
"Strategic Simulations, Inc.",16
The Learning Company,15
DreamCatcher,15
Team Shanghai Alice,15
Big Fish Games,15
Disney Interactive,15
Square Enix,15
NovaLogic,14
Acclaim Entertainment,14
WizardWorks,14
Humongous Entertainment,13
Disney Interactive Studios,13
Rockstar Games,13
1C Company,13
TalonSoft,13
The Adventure Company,13
Vivendi Universal,13
Deep Silver,13
Global Star Software,13
Cryo Interactive,12
Microids,12
Koei,12
Microprose,11
Telltale Games,11
JoWood Productions,11
Maxis,11
Knowledge Adventure,11
Mindscape,10
Microsoft Studios,10
NCsoft,10
DreamCatcher Interactive,10
CDV,10
Lego Media,9
PlayFirst,9
Simon & Schuster Interactive,9
Acclaim,9
Milestone srl,9
Take-Two Interactive,8
Focus Home Interactive,8
Matrix Games,8
Reflexive Entertainment,8
Fox Interactive,8
MicroProse,8
ValuSoft,7
SouthPeak Games,7
CDV Software,7
Nihon Falcom,7
JoWooD Productions,7
Bandai Namco Entertainment,7
Majesco Entertainment,7
Sierra Studios,7
Lighthouse Interactive,7
Shrapnel Games,6
Namco Bandai Games,6
Accolade,6
Stardock,6
Wanadoo Edition,6
Namco,6
MumboJumbo,6
Kalypso Media,6
Red Storm Entertainment,6
505 Games,6
"Blizzard Entertainment, Sierra Entertainment",6
GarageGames,5
Sierra Online,5
Monolith Productions,5
Gremlin Interactive,5
DreamCatcher Games,5
ASC Games,5
Digital Jesters,5
"Twilight Frontier, Team Shanghai Alice",5
Virgin Interactive Entertainment,5
Groove Games,5
GameHouse,5
Lego Software,5
Vivendi Universal Games,5
Team17,5
Illusion,5
Dreamcatcher Interactive,5
Her Interactive,5
SEGA,5
SegaSoft,5
"Activision Publishing, Inc.",5
"NStorm, Inc.",5
SCi,4
THQ Nordic,4
Buena Vista Games,4
Bungie,4
Simon & Schuster,4
BMG Interactive,4
Superior Interactive,4
Nitroplus,4
